"","X140.COUNTRIES","Code","PRS16VA","PRS16PV","PRS16GE","PRS16RQ","PRS16RL","PRS16CC","PRS15VA","PRS15PV","PRS15GE","PRS15RQ","PRS15RL","PRS15CC","PRS14VA","PRS14PV","PRS14GE","PRS14RQ","PRS14RL","PRS14CC","PRS13VA","PRS13PV","PRS13GE","PRS13RQ","PRS13RL","PRS13CC","PRS12VA","PRS12PV","PRS12GE","PRS12RQ","PRS12RL","PRS12CC","PRS11VA","PRS11PV","PRS11GE","PRS11RQ","PRS11RL","PRS11CC","PRS10VA","PRS10PV","PRS10GE","PRS10RQ","PRS10RL","PRS10CC","PRS09VA","PRS09PV","PRS09GE","PRS09RQ","PRS09RL","PRS09CC","PRS08VA","PRS08PV","PRS08GE","PRS08RQ","PRS08RL","PRS08CC","PRS07VA","PRS07PV","PRS07GE","PRS07RQ","PRS07RL","PRS07CC","PRS06VA","PRS06PV","PRS06GE","PRS06RQ","PRS06RL","PRS06CC","PRS05VA","PRS05PV","PRS05GE","PRS05RQ","PRS05RL","PRS05CC","PRS04VA","PRS04PV","PRS04GE","PRS04RQ","PRS04RL","PRS04CC","PRS03VA","PRS03PV","PRS03GE","PRS03RQ","PRS03RL","PRS03CC","PRS02VA","PRS02PV","PRS02GE","PRS02RQ","PRS02RL","PRS02CC","PRS00VA","PRS00PV","PRS00GE","PRS00RQ","PRS00RL","PRS00CC"
"1","Country","Year","2016","2016","2016","2016","2016","2016","2015","2015","2015","2015","2015","2015","2014","2014","2014","2014","2014","2014","2013","2013","2013","2013","2013","2013","2012","2012","2012","2012","2012","2012","2011","2011","2011","2011","2011","2011","2010","2010","2010","2010","2010","2010","2009","2009","2009","2009","2009","2009","2008","2008","2008","2008","2008","2008","2007","2007","2007","2007","2007","2007","2006","2006","2006","2006","2006","2006","2005","2005","2005","2005","2005","2005","2004","2004","2004","2004","2004","2004","2003","2003","2003","2003","2003","2003","2002","2002","2002","2002","2002","2002","2000","2000","2000","2000","2000","2000"
"2","Albania","ALB","0,83","0,76","0,5","0,64","0,42","0,42","0,83","0,73","0,5","0,55","0,42","0,42","0,83","0,73","0,5","0,55","0,42","0,42","0,83","0,79","0,5","0,55","0,42","0,33","0,83","0,71","0,5","0,55","0,42","0,33","0,83","0,71","0,5","0,68","0,42","0,33","0,83","0,74","0,5","0,68","0,42","0,33","0,83","0,77","0,5","0,68","0,42","0,25","0,83","0,79","0,5","0,68","0,42","0,25","0,79","0,79","0,5","0,68","0,42","0,17","0,83","0,8","0,5","0,64","0,42","0,17","0,83","0,79","0,5","0,64","0,42","0,17","0,75","0,76","0,5","0,64","0,33","0,33","0,75","0,81","0,5","0,64","0,33","0,33","0,71","0,86","0,5","0,64","0,33","0,33","0,75","0,78","0,25","0,45","0,33","0,33"
"3","Algeria","DZA","0,54","0,6","0,5","0,55","0,5","0,33","0,5","0,63","0,5","0,68","0,5","0,33","0,5","0,61","0,5","0,68","0,5","0,33","0,54","0,6","0,5","0,68","0,5","0,33","0,54","0,61","0,5","0,59","0,5","0,33","0,54","0,62","0,5","0,59","0,5","0,33","0,54","0,7","0,5","0,59","0,5","0,33","0,54","0,74","0,5","0,64","0,5","0,25","0,58","0,71","0,5","0,64","0,5","0,25","0,63","0,71","0,5","0,68","0,5","0,25","0,63","0,73","0,5","0,68","0,5","0,25","0,63","0,71","0,5","0,77","0,5","0,25","0,63","0,67","0,5","0,68","0,5","0,25","0,17","0,53","0,5","0,64","0,33","0,25","0,17","0,57","0,5","0,64","0,33","0,25","0,25","0,54","0,5","0,55","0,33","0,33"
"4","Angola","AGO","0,38","0,66","0,38","0,5","0,42","0,17","0,38","0,65","0,38","0,5","0,42","0,17","0,38","0,65","0,38","0,59","0,42","0,17","0,38","0,68","0,38","0,64","0,42","0,25","0,38","0,69","0,38","0,59","0,42","0,25","0,38","0,67","0,38","0,59","0,42","0,33","0,33","0,73","0,38","0,64","0,5","0,33","0,33","0,75","0,38","0,64","0,5","0,33","0,33","0,75","0,38","0,64","0,5","0,33","0,33","0,73","0,38","0,64","0,5","0,33","0,33","0,74","0,25","0,64","0,5","0,33","0,33","0,73","0,25","0,59","0,5","0,33","0,33","0,72","0,25","0,64","0,5","0,33","0,42","0,74","0,25","0,64","0,5","0,33","0,33","0,67","0,25","0,68","0,5","0,33","0,33","0,65","0,25","0,09","0,5","0,33"
"5","Argentina","ARG","0,71","0,75","0,75","0,64","0,33","0,33","0,71","0,8","0,75","0,55","0,33","0,33","0,71","0,73","0,75","0,45","0,33","0,33","0,71","0,72","0,75","0,5","0,33","0,33","0,71","0,72","0,75","0,45","0,33","0,33","0,75","0,81","0,75","0,5","0,42","0,42","0,75","0,74","0,75","0,41","0,42","0,42","0,75","0,74","0,75","0,41","0,42","0,42","0,75","0,76","0,75","0,41","0,42","0,42","0,75","0,84","0,75","0,5","0,42","0,42","0,75","0,88","0,75","0,5","0,42","0,42","0,75","0,85","0,75","0,55","0,5","0,42","0,71","0,8","0,75","0,41","0,5","0,42","0,71","0,84","0,75","0,41","0,25","0,42","0,71","0,67","0,75","0,32","0,25","0,33","0,75","0,86","0,75","0,36","0,83","0,5"
"6","Armenia","ARM","0,5","0,66","0,25","0,59","0,5","0,33","0,5","0,66","0,25","0,59","0,5","0,33","0,5","0,65","0,25","0,59","0,5","0,33","0,5","0,7","0,25","0,64","0,5","0,25","0,5","0,7","0,25","0,64","0,5","0,25","0,5","0,68","0,25","0,68","0,5","0,25","0,5","0,74","0,25","0,68","0,5","0,25","0,5","0,77","0,25","0,68","0,5","0,25","0,5","0,76","0,25","0,68","0,5","0,25","0,58","0,76","0,25","0,68","0,5","0,25","0,54","0,76","0,25","0,68","0,5","0,25","0,54","0,73","0,25","0,64","0,5","0,25","0,5","0,72","0,25","0,64","0,5","0,25","0,5","0,75","0,25","0,64","0,5","0,25","0,63","0,67","0,25","0,64","0,5","0,25","0,67","0,66","0,25","0,27","0,5","0,33"
"7","Australia","AUS","1","0,71","1","1","0,92","0,75","1","0,72","1","1","0,92","0,75","1","0,72","1","1","0,92","0,75","1","0,76","1","0,91","0,92","0,75","1","0,72","1","0,86","0,92","0,75","1","0,69","1","0,86","0,92","0,83","1","0,72","1","0,86","0,92","0,83","1","0,79","1","1","0,92","0,75","1","0,78","1","1","0,92","0,75","1","0,77","1","1","0,92","0,75","1","0,73","1","1","0,92","0,75","1","0,76","1","1","0,92","0,83","1","0,77","1","1","1","0,83","1","0,76","1","0,95","1","0,75","1","0,79","1","0,82","1","0,75","1","0,83","1","0,82","1","0,83"
"8","Austria","AUT","1","0,72","1","0,77","1","0,75","1","0,72","1","0,77","1","0,75","1","0,76","1","0,77","1","0,75","1","0,77","1","0,64","1","0,75","1","0,75","1","0,64","1","0,75","1","0,77","1","0,77","1","0,75","1","0,8","1","0,95","1","0,83","1","0,84","1","1","1","0,83","1","0,84","1","1","1","0,83","0,96","0,81","1","1","1","0,83","0,96","0,73","1","1","1","0,83","0,92","0,79","1","1","1","0,83","0,92","0,81","1","1","1","0,83","0,92","0,83","1","1","1","0,83","0,92","0,81","1","1","1","0,83","0,92","0,73","1","0,82","1","0,67"
"9","Azerbaijan","AZE","0,38","0,64","0,25","0,45","0,58","0,25","0,38","0,65","0,25","0,45","0,58","0,25","0,38","0,69","0,25","0,68","0,58","0,25","0,38","0,69","0,25","0,68","0,58","0,25","0,42","0,69","0,25","0,68","0,58","0,25","0,42","0,73","0,25","0,77","0,58","0,25","0,42","0,74","0,25","0,77","0,58","0,25","0,42","0,76","0,25","0,77","0,58","0,25","0,42","0,72","0,25","0,77","0,58","0,25","0,46","0,71","0,25","0,77","0,58","0,25","0,46","0,73","0,25","0,77","0,58","0,25","0,46","0,72","0,25","0,77","0,58","0,25","0,46","0,73","0,25","0,64","0,67","0,33","0,46","0,71","0,25","0,59","0,67","0,33","0,5","0,63","0,25","0,73","0,67","0,33","0,5","0,67","0,25","0,73","0,67","0,33"
"10","Bahamas, The","BHS","0,96","0,79","0,75","0,91","0,67","0,75","0,96","0,8","0,75","0,91","0,75","0,75","0,96","0,8","0,75","0,86","0,75","0,75","0,96","0,8","0,75","0,86","0,75","0,67","0,96","0,81","0,75","0,86","0,75","0,67","0,96","0,79","0,75","0,95","0,75","0,67","0,96","0,83","0,75","0,95","0,75","0,67","0,96","0,83","0,75","0,95","0,75","0,67","0,96","0,83","0,75","0,95","0,75","0,67","0,96","0,83","0,75","0,95","0,75","0,67","0,92","0,87","0,75","0,95","0,75","0,67","0,92","0,87","0,75","0,95","0,75","0,67","0,92","0,91","0,75","0,95","0,75","0,67","0,83","0,9","0,75","0,95","0,67","0,67","0,83","0,91","0,75","0,95","0,67","0,67","0,83","0,91","0,75","0,82","0,67","0,67"
"11","Bahrain","BHR","0,54","0,64","0,5","0,68","0,75","0,42","0,54","0,66","0,5","0,77","0,75","0,42","0,54","0,66","0,5","0,77","0,75","0,5","0,54","0,63","0,5","0,82","0,75","0,5","0,58","0,64","0,5","0,86","0,75","0,5","0,63","0,69","0,5","0,86","0,83","0,42","0,63","0,78","0,5","0,95","0,83","0,42","0,63","0,78","0,5","0,95","0,83","0,33","0,63","0,78","0,5","0,95","0,83","0,33","0,63","0,8","0,5","0,95","0,83","0,33","0,63","0,78","0,5","0,95","0,83","0,33","0,46","0,83","0,5","0,95","0,83","0,33","0,5","0,84","0,5","0,95","0,83","0,33","0,63","0,86","0,5","0,95","0,83","0,33","0,63","0,91","0,5","0,95","0,83","0,33","0,25","0,76","0,5","0,73","0,83","0,5"
"12","Bangladesh","BGD","0,5","0,58","0,5","0,5","0,33","0,5","0,5","0,58","0,5","0,59","0,33","0,5","0,5","0,56","0,5","0,5","0,33","0,5","0,5","0,52","0,5","0,45","0,33","0,5","0,5","0,55","0,5","0,45","0,33","0,5","0,5","0,55","0,5","0,45","0,33","0,5","0,5","0,58","0,5","0,55","0,33","0,5","0,54","0,62","0,5","0,55","0,42","0,5","0,33","0,57","0,5","0,55","0,42","0,42","0,38","0,55","0,5","0,55","0,42","0,42","0,46","0,56","0,5","0,5","0,42","0,25","0,5","0,59","0,5","0,55","0,42","0,25","0,46","0,58","0,5","0,5","0,25","0,25","0,42","0,63","0,5","0,5","0,17","0,17","0,46","0,68","0,5","0,36","0,25","0,17","0,67","0,73","0,5","0,45","0,33","0,33"
"13","Belarus","BLR","0,33","0,74","0,38","0,55","0,58","0,33","0,33","0,73","0,38","0,5","0,58","0,33","0,33","0,67","0,25","0,5","0,58","0,33","0,33","0,67","0,25","0,5","0,58","0,25","0,33","0,67","0,25","0,5","0,58","0,25","0,38","0,64","0,25","0,45","0,67","0,33","0,38","0,79","0,25","0,64","0,67","0,33","0,38","0,8","0,25","0,64","0,67","0,33","0,38","0,79","0,25","0,64","0,67","0,33","0,33","0,78","0,25","0,41","0,67","0,33","0,33","0,79","0,25","0,41","0,67","0,33","0,33","0,77","0,25","0,41","0,67","0,33","0,5","0,83","0,25","0,41","0,67","0,33","0,58","0,83","0,25","0,41","0,67","0,33","0,5","0,79","0,25","0,41","0,67","0,33","0,5","0,75","0,25","0,27","0,67","0,5"
"14","Belgium","BEL","1","0,67","1","0,73","0,83","0,75","1","0,69","1","0,64","0,83","0,75","1","0,72","1","0,64","0,83","0,75","1","0,74","1","0,64","0,83","0,83","1","0,73","1","0,64","0,83","0,83","1","0,76","1","0,59","0,83","0,83","1","0,74","1","0,77","0,83","0,83","1","0,77","1","0,86","0,83","0,83","1","0,73","1","0,86","0,83","0,58","1","0,69","1","0,95","0,83","0,58","1","0,75","1","0,95","0,83","0,58","1","0,77","1","0,95","0,83","0,67","1","0,76","1","0,95","0,83","0,67","1","0,8","1","0,95","0,83","0,67","1","0,81","1","0,95","0,83","0,67","0,92","0,78","1","0,73","0,83","0,67"
"15","Bolivia","BOL","0,54","0,61","0,63","0,45","0,42","0,33","0,54","0,65","0,63","0,5","0,42","0,33","0,54","0,7","0,63","0,5","0,42","0,33","0,54","0,65","0,63","0,36","0,42","0,33","0,54","0,64","0,5","0,36","0,42","0,25","0,54","0,64","0,5","0,36","0,42","0,33","0,54","0,68","0,5","0,36","0,42","0,33","0,58","0,7","0,5","0,36","0,42","0,33","0,67","0,68","0,5","0,36","0,5","0,33","0,67","0,66","0,5","0,18","0,5","0,33","0,75","0,6","0,5","0,18","0,5","0,33","0,58","0,56","0,5","0,5","0,5","0,33","0,58","0,61","0,5","0,59","0,5","0,33","0,58","0,7","0,5","0,77","0,5","0,33","0,58","0,67","0,5","0,77","0,5","0,33","0,58","0,76","0,5","0,82","0,5","0,5"
"16","Botswana","BWA","0,71","0,77","0,5","0,86","0,58","0,67","0,71","0,79","0,5","0,86","0,58","0,67","0,71","0,8","0,5","0,86","0,58","0,67","0,71","0,8","0,5","0,86","0,58","0,58","0,71","0,8","0,5","0,86","0,58","0,58","0,71","0,76","0,5","0,86","0,58","0,58","0,79","0,82","0,5","0,86","0,58","0,58","0,79","0,86","0,5","0,86","0,58","0,58","0,79","0,85","0,5","0,86","0,58","0,58","0,79","0,85","0,5","0,86","0,58","0,58","0,79","0,86","0,5","0,86","0,67","0,67","0,83","0,86","0,5","0,95","0,67","0,5","0,83","0,86","0,5","0,95","0,67","0,5","0,83","0,84","0,5","0,95","0,58","0,5","0,75","0,84","0,5","0,95","0,58","0,5","0,75","0,91","0,5","0,91","0,67","0,5"
"17","Brazil","BRA","0,75","0,65","0,5","0,59","0,33","0,33","0,75","0,58","0,5","0,5","0,33","0,33","0,75","0,66","0,5","0,64","0,33","0,33","0,75","0,64","0,5","0,59","0,33","0,42","0,75","0,72","0,5","0,59","0,33","0,42","0,75","0,68","0,5","0,64","0,33","0,5","0,75","0,72","0,5","0,64","0,33","0,5","0,75","0,74","0,5","0,55","0,33","0,5","0,75","0,74","0,5","0,55","0,33","0,5","0,75","0,72","0,5","0,59","0,33","0,33","0,75","0,72","0,5","0,59","0,42","0,33","0,75","0,72","0,5","0,59","0,42","0,25","0,75","0,73","0,5","0,59","0,42","0,33","0,75","0,77","0,5","0,64","0,25","0,67","0,75","0,74","0,5","0,59","0,25","0,67","0,67","0,72","0,5","0,45","0,33","0,5"
"18","Brunei Darussalam","BRN","0,46","0,79","0,88","0,77","0,83","0,42","0,46","0,78","0,88","0,77","0,83","0,42","0,46","0,84","0,88","0,86","0,83","0,42","0,46","0,89","0,88","0,95","0,83","0,42","0,46","0,9","0,88","0,95","0,83","0,42","0,46","0,94","0,88","0,95","0,83","0,42","0,46","0,94","0,88","0,95","0,83","0,42","0,46","0,94","0,88","0,95","0,83","0,42","0,46","0,94","0,88","0,95","0,83","0,42","0,46","0,94","0,88","0,95","0,83","0,42","0,46","0,94","0,88","0,95","0,83","0,42","0,46","0,94","0,75","0,95","0,83","0,42","0,46","0,91","0,75","0,95","1","0,42","0,42","0,92","0,75","0,95","1","0,42","0,42","0,9","0,75","0,95","1","0,42","0,42","0,91","0,75","0,64","1","0,5"
"19","Bulgaria","BGR","0,88","0,69","0,5","0,86","0,5","0,5","0,88","0,7","0,5","0,86","0,5","0,42","0,88","0,68","0,5","0,68","0,42","0,42","0,88","0,69","0,5","0,73","0,42","0,33","0,88","0,7","0,5","0,73","0,42","0,33","0,88","0,69","0,5","0,68","0,42","0,33","0,88","0,69","0,5","0,77","0,42","0,33","0,88","0,72","0,5","0,86","0,42","0,33","0,88","0,72","0,5","0,95","0,42","0,33","0,88","0,77","0,5","0,95","0,42","0,33","0,88","0,79","0,5","0,95","0,42","0,33","0,88","0,74","0,5","0,95","0,67","0,33","0,83","0,71","0,5","0,95","0,67","0,33","0,83","0,76","0,5","0,95","0,67","0,33","0,83","0,79","0,5","0,95","0,67","0,33","0,83","0,75","0,5","0,82","0,67","0,33"
"20","Burkina Faso","BFA","0,58","0,63","0,25","0,59","0,58","0,42","0,58","0,63","0,25","0,59","0,5","0,42","0,42","0,61","0,25","0,59","0,5","0,42","0,46","0,61","0,25","0,55","0,5","0,33","0,46","0,64","0,25","0,55","0,5","0,33","0,42","0,61","0,25","0,59","0,5","0,33","0,46","0,67","0,25","0,77","0,58","0,33","0,46","0,69","0,25","0,77","0,58","0,33","0,46","0,71","0,25","0,77","0,58","0,33","0,46","0,71","0,25","0,77","0,58","0,33","0,5","0,71","0,25","0,77","0,58","0,33","0,5","0,71","0,25","0,73","0,58","0,33","0,54","0,67","0,25","0,73","0,58","0,33","0,54","0,71","0,25","0,73","0,58","0,33","0,63","0,72","0,25","0,73","0,58","0,33","0,58","0,76","0,25","0,64","0,67","0,33"
"21","Cameroon","CMR","0,42","0,61","0,38","0,64","0,33","0,33","0,42","0,63","0,38","0,64","0,33","0,33","0,42","0,63","0,38","0,64","0,33","0,33","0,42","0,71","0,38","0,64","0,33","0,33","0,46","0,7","0,38","0,59","0,33","0,33","0,46","0,71","0,38","0,59","0,33","0,42","0,5","0,75","0,38","0,73","0,33","0,42","0,5","0,79","0,38","0,73","0,33","0,58","0,54","0,79","0,38","0,73","0,33","0,67","0,63","0,79","0,25","0,73","0,33","0,58","0,63","0,78","0,25","0,68","0,42","0,5","0,63","0,79","0,25","0,64","0,33","0,33","0,63","0,64","0,25","0,64","0,33","0,33","0,5","0,63","0,25","0,5","0,33","0,33","0,5","0,65","0,25","0,5","0,33","0,33","0,5","0,63","0,25","0,64","0,33","0,33"
"22","Canada","CAN","1","0,76","1","1","0,92","0,83","1","0,76","1","1","0,92","0,83","1","0,73","1","1","0,92","0,83","1","0,75","1","1","0,92","0,83","1","0,78","1","1","0,92","0,83","0,96","0,79","1","1","0,92","0,83","0,96","0,77","1","0,91","0,92","0,83","1","0,79","1","0,95","0,92","0,83","1","0,71","1","0,95","1","0,83","1","0,74","1","1","1","0,83","1","0,71","1","1","1","0,83","1","0,74","1","1","1","0,83","1","0,76","1","1","1","0,67","1","0,82","1","1","1","0,83","1","0,75","1","1","1","0,67","1","0,78","1","0,82","1","1"
"23","Chile","CHL","0,79","0,67","0,75","0,86","0,75","0,75","0,79","0,66","0,75","0,86","0,75","0,75","0,79","0,7","0,75","0,86","0,75","0,75","0,79","0,7","0,75","0,86","0,75","0,75","0,79","0,66","0,75","0,95","0,75","0,75","0,79","0,66","0,75","0,95","0,75","0,75","0,79","0,72","0,75","0,95","0,75","0,75","0,79","0,74","0,75","0,95","0,83","0,75","0,79","0,74","0,75","0,95","0,83","0,75","0,79","0,75","0,75","0,95","0,83","0,75","0,79","0,78","0,75","0,95","0,83","0,75","0,79","0,83","0,75","0,95","0,83","0,75","0,67","0,83","0,75","0,95","0,83","0,42","0,67","0,81","0,75","0,91","0,83","0,42","0,67","0,8","0,75","0,86","0,83","0,67","0,67","0,8","0,75","0,73","0,83","0,67"
"24","China","CHN","0,38","0,59","0,5","0,45","0,58","0,33","0,38","0,61","0,5","0,45","0,58","0,33","0,38","0,62","0,5","0,45","0,58","0,33","0,38","0,66","0,5","0,59","0,58","0,33","0,38","0,69","0,5","0,59","0,58","0,33","0,38","0,68","0,5","0,55","0,58","0,33","0,38","0,69","0,5","0,5","0,67","0,33","0,38","0,75","0,5","0,55","0,75","0,42","0,38","0,8","0,5","0,55","0,75","0,42","0,38","0,84","0,5","0,55","0,75","0,42","0,33","0,8","0,5","0,55","0,75","0,25","0,33","0,82","0,5","0,59","0,75","0,33","0,33","0,87","0,5","0,55","0,75","0,33","0,33","0,9","0,5","0,59","0,75","0,33","0,29","0,87","0,5","0,59","0,75","0,17","0,25","0,83","0,5","0,82","0,67","0,17"
"25","Colombia","COL","0,58","0,74","0,5","0,64","0,33","0,42","0,54","0,7","0,5","0,64","0,33","0,42","0,54","0,71","0,5","0,64","0,33","0,42","0,54","0,65","0,5","0,64","0,33","0,42","0,54","0,63","0,5","0,64","0,33","0,42","0,54","0,7","0,5","0,64","0,33","0,5","0,54","0,74","0,5","0,68","0,33","0,5","0,54","0,7","0,5","0,68","0,33","0,5","0,54","0,67","0,5","0,68","0,33","0,5","0,54","0,65","0,5","0,68","0,25","0,42","0,54","0,66","0,5","0,68","0,25","0,42","0,54","0,64","0,5","0,68","0,17","0,5","0,54","0,66","0,5","0,73","0,17","0,5","0,42","0,59","0,5","0,68","0,17","0,5","0,42","0,56","0,5","0,77","0,17","0,5","0,42","0,69","0,5","0,18","0,17","0,33"
"26","Congo, Rep.","COG","0,5","0,7","0,25","0,55","0,33","0,25","0,5","0,73","0,25","0,68","0,33","0,25","0,25","0,73","0,25","0,68","0,33","0,25","0,25","0,73","0,25","0,68","0,33","0,25","0,25","0,73","0,25","0,68","0,33","0,25","0,25","0,72","0,25","0,68","0,33","0,33","0,25","0,76","0,25","0,68","0,33","0,33","0,25","0,76","0,25","0,68","0,33","0,33","0,25","0,76","0,25","0,73","0,33","0,33","0,25","0,73","0,25","0,73","0,33","0,33","0,25","0,76","0,25","0,73","0,33","0,33","0,25","0,76","0,25","0,68","0,33","0,33","0,25","0,8","0,25","0,59","0,33","0,33","0,25","0,79","0,25","0,59","0,33","0,33","0,25","0,76","0,25","0,68","0,33","0,33","0,08","0,76","0,25","0,45","0,33","0,67"
"27","Congo, Dem. Rep.","ZAR","0,29","0,43","0","0,5","0,17","0,25","0,29","0,44","0","0,5","0,17","0,25","0,17","0,42","0","0,45","0,17","0,25","0,17","0,45","0","0,45","0,17","0,25","0,17","0,47","0","0,45","0,17","0,25","0,17","0,46","0","0,45","0,17","0,25","0,17","0,47","0","0,45","0,17","0,25","0,17","0,52","0","0,45","0,17","0,25","0,17","0,5","0","0,45","0,17","0,17","0,17","0,47","0","0,45","0,17","0,17","0,17","0,43","0","0,45","0,17","0,17","0,13","0,44","0","0,45","0,17","0,17","0,08","0,46","0","0,45","0,17","0,17","0,08","0,54","0","0,45","0,17","0,17","0,08","0,53","0","0,45","0,17","0,17","0,08","0,43","0","0","0,17","0,17"
"28","Costa Rica","CRI","0,96","0,8","0,5","0,64","0,5","0,5","0,96","0,77","0,5","0,68","0,5","0,5","0,96","0,82","0,5","0,64","0,5","0,5","0,96","0,76","0,5","0,64","0,5","0,42","0,96","0,78","0,5","0,64","0,5","0,42","0,96","0,81","0,5","0,64","0,5","0,33","0,96","0,82","0,5","0,68","0,58","0,33","0,96","0,8","0,5","0,64","0,58","0,33","0,96","0,76","0,5","0,64","0,58","0,33","0,96","0,8","0,5","0,64","0,67","0,33","0,96","0,76","0,5","0,64","0,67","0,25","0,96","0,77","0,5","0,68","0,67","0,25","0,96","0,78","0,5","0,68","0,67","0,42","0,96","0,8","0,5","0,73","0,67","0,42","0,96","0,85","0,5","0,68","0,67","0,42","0,92","0,86","0,5","0,82","0,67","0,83"
"29","Côte d'Ivoire","CIV","0,5","0,57","0","0,64","0,42","0,33","0,38","0,59","0","0,64","0,42","0,33","0,38","0,59","0","0,64","0,42","0,33","0,38","0,56","0","0,59","0,42","0,25","0,38","0,52","0","0,64","0,42","0,25","0,38","0,59","0","0,5","0,42","0,33","0,38","0,54","0","0,36","0,42","0,33","0,29","0,55","0","0,36","0,42","0,42","0,29","0,57","0","0,36","0,42","0,42","0,29","0,58","0","0,36","0,42","0,33","0,29","0,56","0","0,36","0,42","0,25","0,25","0,47","0","0,36","0,42","0,25","0,25","0,53","0","0,41","0,42","0,33","0,25","0,59","0","0,45","0,42","0,5","0,21","0,49","0","0,45","0,42","0,5","0,33","0,61","0","0,09","0,5","0,5"
"30","Croatia","HRV","0,88","0,7","0,75","0,5","0,75","0,5","0,88","0,69","0,75","0,64","0,75","0,5","0,88","0,69","0,75","0,64","0,75","0,5","0,88","0,77","0,75","0,64","0,75","0,33","0,88","0,75","0,75","0,73","0,75","0,33","0,88","0,81","0,75","0,77","0,75","0,5","0,88","0,81","0,75","0,77","0,75","0,5","0,88","0,78","0,75","0,77","0,75","0,42","0,88","0,8","0,75","0,77","0,75","0,42","0,88","0,78","0,75","0,77","0,83","0,42","0,88","0,82","0,75","0,77","0,83","0,42","0,88","0,79","0,75","0,77","0,83","0,42","0,88","0,81","0,75","0,77","0,83","0,5","0,83","0,77","0,75","0,73","0,83","0,5","0,83","0,77","0,75","0,73","0,83","0,5","0,83","0,82","0,75","0,55","0,83","0,5"
"31","Cuba","CUB","0,17","0,83","0,5","0,5","0,5","0,42","0,17","0,84","0,5","0,55","0,5","0,42","0,13","0,82","0,5","0,45","0,5","0,42","0,13","0,82","0,5","0,32","0,5","0,42","0,13","0,81","0,5","0,23","0,5","0,42","0,13","0,82","0,5","0,23","0,5","0,5","0,13","0,83","0,5","0,18","0,5","0,5","0,13","0,83","0,5","0,23","0,5","0,42","0,17","0,82","0,5","0,23","0,5","0,42","0,17","0,83","0,5","0,23","0,67","0,42","0,17","0,84","0,5","0,23","0,67","0,42","0,17","0,85","0,5","0,23","0,67","0,42","0,17","0,83","0,5","0,23","0,67","0,42","0,25","0,82","0,5","0,23","0,67","0,42","0,25","0,85","0,5","0,36","0,67","0,42","0,25","0,84","0,5","0,45","0,67","0,33"
"32","Cyprus","CYP","0,92","0,64","1","0,86","0,83","0,67","0,92","0,64","1","0,86","0,83","0,67","0,92","0,63","1","0,86","0,83","0,67","0,92","0,59","1","0,45","0,83","0,67","0,92","0,63","1","0,59","0,83","0,67","0,92","0,64","1","0,68","0,83","0,67","0,92","0,72","1","0,95","0,83","0,67","0,92","0,72","1","0,95","0,83","0,67","0,92","0,71","1","0,95","0,83","0,67","0,92","0,7","1","1","0,83","0,67","0,92","0,72","1","1","0,83","0,67","0,92","0,71","1","1","0,83","0,67","0,92","0,71","1","1","0,83","0,67","0,92","0,72","1","1","0,83","0,67","0,92","0,58","1","1","0,83","0,67","0,92","0,63","1","0,64","0,83","0,67"
"33","Czech Republic","CZE","0,96","0,75","0,75","0,68","0,83","0,5","0,96","0,75","0,75","0,64","0,83","0,5","0,96","0,76","0,75","0,64","0,83","0,5","0,96","0,73","0,75","0,64","0,83","0,42","0,96","0,71","0,75","0,64","0,83","0,42","0,96","0,72","0,75","0,82","0,83","0,42","0,96","0,71","0,75","0,95","0,83","0,42","0,96","0,71","0,75","0,95","0,83","0,42","0,96","0,71","0,75","0,95","0,83","0,42","0,96","0,75","0,75","0,95","0,83","0,42","0,96","0,72","0,75","0,95","0,83","0,42","0,96","0,77","0,75","0,95","0,83","0,42","0,96","0,67","0,75","1","0,83","0,42","0,92","0,69","0,75","1","0,83","0,42","0,92","0,73","0,75","1","0,83","0,42","0,92","0,67","0,75","0,64","0,83","0,67"
"34","Denmark","DNK","1","0,64","1","0,59","1","0,92","1","0,63","1","0,73","1","0,92","1","0,63","1","0,59","1","0,92","1","0,63","1","0,59","1","0,92","1","0,63","1","0,68","1","0,92","1","0,68","1","0,82","1","0,92","1","0,69","1","0,91","1","0,92","1","0,69","1","0,91","1","0,92","1","0,68","1","0,91","1","0,92","1","0,68","1","0,95","1","0,92","1","0,67","1","0,95","1","0,92","1","0,75","1","0,95","1","0,92","1","0,7","1","0,95","1","0,92","1","0,73","1","0,95","1","0,92","1","0,83","1","0,95","1","0,92","1","0,95","1","0,82","1","1"
"35","Dominican Republic","DOM","0,67","0,84","0,25","0,77","0,42","0,33","0,67","0,82","0,25","0,77","0,33","0,33","0,67","0,83","0,25","0,73","0,42","0,33","0,67","0,8","0,25","0,73","0,42","0,25","0,67","0,8","0,25","0,64","0,42","0,25","0,67","0,78","0,25","0,77","0,42","0,33","0,67","0,81","0,25","0,77","0,42","0,33","0,67","0,81","0,25","0,77","0,42","0,33","0,67","0,82","0,25","0,77","0,42","0,33","0,67","0,81","0,25","0,77","0,42","0,33","0,67","0,82","0,25","0,77","0,42","0,33","0,67","0,78","0,25","0,77","0,33","0,33","0,67","0,76","0,25","0,64","0,33","0,33","0,67","0,67","0,25","0,64","0,33","0,33","0,67","0,79","0,25","0,68","0,33","0,33","0,67","0,78","0,25","0,91","0,67","0,67"
